home_team,away_team,kickoff_arg
Mexico,South Africa,2026-06-11 16:00
South Korea,Czech Republic,2026-06-11 23:00
Canada,Bosnia and Herzegovina,2026-06-12 16:00
United States,Paraguay,2026-06-12 22:00
Qatar,Switzerland,2026-06-13 16:00
Brazil,Morocco,2026-06-13 19:00
Haiti,Scotland,2026-06-13 22:00
Australia,Turkey,2026-06-14 01:00
Germany,Curaçao,2026-06-14 14:00
Netherlands,Japan,2026-06-14 17:00
Ivory Coast,Ecuador,2026-06-14 20:00
Sweden,Tunisia,2026-06-14 23:00
Spain,Cape Verde,2026-06-15 13:00
Belgium,Egypt,2026-06-15 16:00
Saudi Arabia,Uruguay,2026-06-15 19:00
Iran,New Zealand,2026-06-15 22:00
France,Senegal,2026-06-16 16:00
Iraq,Norway,2026-06-16 19:00
Argentina,Algeria,2026-06-16 22:00
Austria,Jordan,2026-06-17 01:00
Portugal,DR Congo,2026-06-17 14:00
England,Croatia,2026-06-17 17:00
Ghana,Panama,2026-06-17 20:00
Uzbekistan,Colombia,2026-06-17 23:00
Czech Republic,South Africa,2026-06-18 13:00
Switzerland,Bosnia and Herzegovina,2026-06-18 16:00
Canada,Qatar,2026-06-18 19:00
Mexico,South Korea,2026-06-18 22:00
United States,Australia,2026-06-19 16:00
Scotland,Morocco,2026-06-19 19:00
Brazil,Haiti,2026-06-19 21:30
Turkey,Paraguay,2026-06-20 01:00
Netherlands,Sweden,2026-06-20 14:00
Germany,Ivory Coast,2026-06-20 17:00
Ecuador,Curaçao,2026-06-20 21:00
Tunisia,Japan,2026-06-21 01:00
Spain,Saudi Arabia,2026-06-21 13:00
Belgium,Iran,2026-06-21 16:00
Uruguay,Cape Verde,2026-06-21 19:00
New Zealand,Egypt,2026-06-21 22:00
Argentina,Austria,2026-06-22 14:00
France,Iraq,2026-06-22 18:00
Norway,Senegal,2026-06-22 21:00
Jordan,Algeria,2026-06-23 00:00
Portugal,Uzbekistan,2026-06-23 14:00
England,Ghana,2026-06-23 17:00
Panama,Croatia,2026-06-23 20:00
Colombia,DR Congo,2026-06-23 23:00
Bosnia and Herzegovina,Qatar,2026-06-24 16:00
Canada,Switzerland,2026-06-24 16:00
Scotland,Brazil,2026-06-24 19:00
Morocco,Haiti,2026-06-24 19:00
Mexico,Czech Republic,2026-06-24 22:00
South Africa,South Korea,2026-06-24 22:00
Curaçao,Ivory Coast,2026-06-25 17:00
Ecuador,Germany,2026-06-25 17:00
Japan,Sweden,2026-06-25 20:00
Tunisia,Netherlands,2026-06-25 20:00
United States,Turkey,2026-06-25 23:00
Paraguay,Australia,2026-06-25 23:00
Senegal,Iraq,2026-06-26 16:00
Norway,France,2026-06-26 16:00
Cape Verde,Saudi Arabia,2026-06-26 21:00
Uruguay,Spain,2026-06-26 21:00
New Zealand,Belgium,2026-06-27 00:00
Egypt,Iran,2026-06-27 00:00
Panama,England,2026-06-27 18:00
Croatia,Ghana,2026-06-27 18:00
Colombia,Portugal,2026-06-27 20:30
DR Congo,Uzbekistan,2026-06-27 20:30
Algeria,Austria,2026-06-27 23:00
Jordan,Argentina,2026-06-27 23:00
